Date,Start Time (Sask),Start Time (ET),Visitor,ScoreA,Home,ScoreH,Status
2021-10-12,5:30 PM,7:30 PM,Pittsburgh Penguins,6,Tampa Bay Lightning,2,Regulation
2021-10-12,8:00 PM,10:00 PM,Seattle Kraken,3,Vegas Golden Knights,4,Regulation
2021-10-13,5:00 PM,7:00 PM,Montreal Canadiens,1,Toronto Maple Leafs,2,Regulation
2021-10-13,5:30 PM,7:30 PM,New York Rangers,1,Washington Capitals,5,Regulation
2021-10-13,8:00 PM,10:00 PM,Chicago Blackhawks,2,Colorado Avalanche,4,Regulation
2021-10-13,8:00 PM,10:00 PM,Vancouver Canucks,2,Edmonton Oilers,3,SO
2021-10-13,8:00 PM,10:00 PM,Winnipeg Jets,1,Anaheim Ducks,4,Regulation
2021-10-14,5:00 PM,7:00 PM,Montreal Canadiens,1,Buffalo Sabres,5,Regulation
2021-10-14,5:00 PM,7:00 PM,Toronto Maple Leafs,2,Ottawa Senators,3,Regulation
2021-10-14,5:00 PM,7:00 PM,Pittsburgh Penguins,4,Florida Panthers,5,OT
2021-10-14,5:00 PM,7:00 PM,Dallas Stars,3,New York Rangers,2,OT
2021-10-14,5:00 PM,7:00 PM,New York Islanders,3,Carolina Hurricanes,6,Regulation
2021-10-14,5:00 PM,7:00 PM,Arizona Coyotes,2,Columbus Blue Jackets,8,Regulation
2021-10-14,5:30 PM,7:30 PM,Tampa Bay Lightning,7,Detroit Red Wings,6,OT
2021-10-14,6:00 PM,8:00 PM,Seattle Kraken,4,Nashville Predators,3,Regulation
2021-10-14,8:30 PM,10:30 PM,Vegas Golden Knights,2,Los Angeles Kings,6,Regulation
2021-10-15,5:00 PM,7:00 PM,Chicago Blackhawks,3,New Jersey Devils,4,OT
2021-10-15,5:00 PM,7:00 PM,Vancouver Canucks,5,Philadelphia Flyers,4,SO
2021-10-15,8:00 PM,10:00 PM,Minnesota Wild,2,Anaheim Ducks,1,Regulation
2021-10-16,11:00 AM,1:00 PM,Arizona Coyotes,1,Buffalo Sabres,2,SO
2021-10-16,4:00 PM,6:00 PM,New York Islanders,1,Florida Panthers,5,Regulation
2021-10-16,5:00 PM,7:00 PM,Dallas Stars,1,Boston Bruins,3,Regulation
